Time Values,Noisy Yaw,Filtered Yaw,Reference Yaw,Noisy Ax,Filtered Ax,Vx Values,Yaw Error,Yaw Error Derivatives,Yaw Correction,Steering Values,Sideslip,Noisy Ay,Filtered Ay,Vy
3.12,-0.1327166179036974,-0.020186160951950485,0.0,0.7857770592031303,-0.07766536767207716,2.933668233593166,-3.4303445792027814e-06,-0.0002572752201487826,-1.4214271646111233e-18,0.0,-1.4788296652326803e-05,0.3400593610245677,0.2807995085438883,-4.3383956121045904e-05
3.136,-0.05833744451788944,-0.027816417665138277,0.0,-0.08564904277931784,-0.0792621026935253,2.9336647879676234,-3.91483247330805e-06,-3.0280493381579307e-05,-1.4214271646111233e-18,0.0,-1.4864064124284359e-05,-0.34810584876083794,0.15501843708294302,-4.3606181530717286e-05
3.152,-0.15302618482264546,-0.05285837109663971,0.0,1.2847699922115183,0.19354431628748348,2.9336613422726394,-2.5436191173260367e-07,0.0002287794100984654,-1.4214271646111233e-18,0.0,-1.4929876760150732e-05,-0.38005637329067854,0.04800347500821869,-4.379920229940318e-05
3.168,0.06798314351716052,-0.028690068173879663,0.0,-0.14815490975385354,0.12520447107921606,2.933657896708317,3.6753113122765446e-06,0.00024560457650057174,-1.4214271646111233e-18,0.0,-1.4916062127046853e-05,0.7212132128593338,0.18264542257844174,-4.375862345004813e-05
3.184,0.11842390681169779,0.0007327268232358297,0.0,1.019575228318902,0.30407862252715323,2.9336544511142395,3.713292916324866e-06,2.3738502530201006e-06,-1.4214271646111233e-18,0.0,-1.4837257906025192e-05,-0.47473639105190685,0.051169059852371995,-4.352738770153485e-05
3.2,0.1358823029934087,0.027762642057270404,0.0,-0.52201042192257,0.1388608136372086,2.933651005461638,-1.8053949701153791e-07,-0.00024336452583352522,-1.4214271646111233e-18,0.0,-1.4776924906754963e-05,-0.4994453850752965,-0.05895382913316172,-4.335034061348811e-05
3.216,-0.1782206804288196,-0.013434022439947606,0.0,0.7161817144207645,0.25432499379391976,2.933647559934554,-3.883330638321327e-06,-0.0002314244463318618,-1.4214271646111233e-18,0.0,-1.4798953119588668e-05,-0.8974842054958574,-0.22665990440570086,-4.341491271203657e-05
3.232,-0.08757221479060757,-0.0282616609100796,0.0,0.24844885943324543,0.2531497669217849,2.9336441143547844,-3.4745870798988574e-06,2.554647240140436e-05,-1.4214271646111233e-18,0.0,-1.4880027481608076e-05,-0.42996252640152466,-0.2673204288048656,-4.365270504607877e-05
3.248,-0.17495405788391336,-0.05760014030484635,0.0,-1.4368363268385997,-0.08484745183029202,2.9336406687399,6.130672553593551e-07,0.0002554783959536383,-1.4214271646111233e-18,0.0,-1.4934328244927105e-05,1.4002098404448306e-05,-0.2138535426242116,-4.381195270288632e-05
3.2640000000000002,-0.13828642694899843,-0.07373739763367676,0.0,0.3255568492868633,-0.002766591606860949,2.9336372232537875,4.051455507892224e-06,0.00021489926578330428,-1.4214271646111233e-18,0.0,-1.490436591017408e-05,0.265421036673594,-0.11799862676465048,-4.3724002626319115e-05
3.2800000000000002,-0.13468613733813933,-0.08592714557456928,0.0,0.6102253312219507,0.11983179295890138,2.93363377769372,3.1998256615923285e-06,-5.322686539374344e-05,-1.4214271646111233e-18,0.0,-1.4821875368774199e-05,-0.9882732583708623,-0.29205355308589287,-4.3481954233786706e-05
3.2960000000000003,0.02979161995287716,-0.06278339246907999,0.0,-0.6128387935916355,-0.026702324351205994,2.9336303321159307,-1.0399363155642035e-06,-0.00026498512357228324,-1.4214271646111233e-18,0.0,-1.4774222114593177e-05,0.3646191159235395,-0.16071901928400636,-4.334210613194205e-05
3.3120000000000003,-0.09658658729125928,-0.06954403143351585,0.0,0.9717665260274322,0.17299144572452163,2.9336268866517554,-4.178760505411459e-06,-0.00019617651186545348,-1.4214271646111233e-18,0.0,-1.4811868016917108e-05,-1.3537703479444358,-0.3993292850160922,-4.345249425914295e-05
3.3280000000000003,-0.11847721240156762,-0.0793306676271262,0.0,-1.1170568020723959,-0.08501820383486186,2.9336234410989857,-2.893101223865358e-06,8.035370509663132e-05,-1.4214271646111233e-18,0.0,-1.489497236388779e-05,-0.3997403069707205,-0.3994114894070179,-4.369624008445428e-05
3.344,-0.033747507759490786,-0.07021403565359913,0.0,-0.3972768164943377,-0.14746992636675704,2.933619995555346,1.4557006365569088e-06,0.00027180011627639167,-1.4214271646111233e-18,0.0,-1.4935555477037509e-05,-0.5200995177357266,-0.4235490950727596,-4.3815244195421364e-05
3.36,-0.0386638809261803,-0.06390400470811536,0.0,0.37457460019046274,-0.04306102105531308,2.9336165501188605,4.263136185303981e-06,0.000175464721796692,-1.4214271646111233e-18,0.0,-1.489066145690351e-05,0.8316023247113936,-0.17251881111592893,-4.368349089541783e-05
3.376,0.19745572439285236,-0.011632058887921813,0.0,0.23123015522999668,0.011797214201748875,2.933613104580472,2.556562333951851e-06,-0.00010666086570950811,-1.4214271646111233e-18,0.0,-1.480783882081315e-05,1.302392078425867,0.12246336679243025,-4.3440470018428e-05
3.392,-0.16630220749740013,-0.042566088609817476,0.0,-1.3895033240973342,-0.26846289345806773,2.9336096590680896,-1.8569813743103325e-06,-0.0002758464817663865,-1.4214271646111233e-18,0.0,-1.4774800200340314e-05,-0.5928652975720206,-0.0206023660804599,-4.334349658167337e-05
3.408,-0.061538516005798266,-0.04636057408901363,0.0,-1.411724391000103,-0.4971151929664748,2.933606213641954,-4.304381808373176e-06,-0.00015296252712892775,-1.4214271646111233e-18,0.0,-1.4826535213636256e-05,-0.08160738213794402,-0.03280336929195672,-4.349521583269169e-05
3.424,-0.19862742097812283,-0.07681394346683547,0.0,0.1928540801779187,-0.3591213383375961,2.933602768107867,-2.1942309232227342e-06,0.00013188443032190262,-1.4214271646111233e-18,0.0,-1.4908284796471535e-05,-1.1786857169130147,-0.2619798388161683,-4.373498554990946e-05
3.44,-0.010636431321569838,-0.06357844103778235,0.0,-0.9137545170066081,-0.4700479740713985,2.933599322627113,2.2391659793393214e-06,0.00027708730641012847,-1.4214271646111233e-18,0.0,-1.4933503476703043e-05,-0.10502068597226437,-0.23058800824738754,-4.380891568696229e-05
3.456,0.10581973557139265,-0.029698805715947345,0.0,-0.5333914171992922,-0.4827166626969772,2.9335958772182065,4.3016901317414085e-06,0.00012890775952513044,-1.4214271646111233e-18,0.0,-1.4875502091689975e-05,-1.001829926947964,-0.38483639198750286,-4.3638711610951315e-05
3.472,-0.07140383194348901,-0.03803981096145568,0.0,-1.2738806287619877,-0.6409494559099793,2.93359243169505,1.8094211487505333e-06,-0.00015576681143692972,-1.4214271646111233e-18,0.0,-1.4795708557325646e-05,0.20248332752828782,-0.26737244808434474,-4.3404578648503475e-05
3.488,0.1949795196879456,0.00856405516842458,0.0,-0.5738651728620237,-0.6275325993003882,2.933588986239803,-2.5986872894446755e-06,-0.0002755067773872005,-1.4214271646111233e-18,0.0,-1.477862643442748e-05,0.2589267747605097,-0.16211260351537385,-4.335441574294518e-05
